Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Yr
Alex Abrines,SG,23,OKC,68,6,1055,6.2,15.9,.393,4.4,11.5,.381,1.9,4.4,.426,2.0,2.3,.898,0.8,3.2,4.0,1.9,1.7,0.4,1.5,5.3,18.9,113,110,2017
Quincy Acy,PF,26,TOT,38,1,558,6.0,14.6,.412,3.2,7.7,.411,2.8,6.8,.413,3.9,5.1,.750,1.7,8.1,9.8,1.5,1.2,1.3,1.8,5.7,19.0,109,110,2017
Quincy Acy,PF,26,DAL,6,0,48,5.4,18.4,.294,1.1,7.6,.143,4.3,10.8,.400,2.2,3.3,.667,2.2,6.5,8.7,0.0,0.0,0.0,2.2,9.8,14.1,71,113,2017
Quincy Acy,PF,26,BRK,32,1,510,6.0,14.2,.425,3.3,7.7,.434,2.7,6.5,.414,4.0,5.3,.754,1.7,8.3,9.9,1.7,1.3,1.4,1.8,5.4,19.4,113,110,2017
Steven Adams,C,23,OKC,80,80,2389,7.7,13.5,.571,0.0,0.0,.000,7.7,13.4,.572,3.2,5.3,.611,5.8,6.8,12.6,1.8,1.8,1.6,3.0,4.0,18.6,114,107,2017
Arron Afflalo,SG,31,SAC,61,45,1580,5.9,13.4,.440,2.0,4.8,.411,3.9,8.6,.457,2.7,3.0,.892,0.3,3.7,4.0,2.5,0.7,0.2,1.3,3.3,16.5,109,116,2017
Alexis Ajinca,C,28,NOP,39,15,584,7.5,14.9,.500,0.0,0.3,.000,7.5,14.6,.511,2.4,3.4,.725,3.9,11.0,14.8,1.0,1.7,1.8,2.6,6.5,17.4,101,104,2017
Cole Aldrich,C,28,MIN,62,0,531,4.3,8.2,.523,0.0,0.0,.000,4.3,8.2,.523,1.4,2.1,.682,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10.0,118,107,2017
LaMarcus Aldridge,PF,31,SAS,72,72,2335,10.9,22.9,.477,0.5,1.2,.411,10.4,21.7,.480,4.8,5.9,.812,3.8,7.6,11.4,3.0,1.0,1.9,2.1,3.4,27.1,111,104,2017
Lavoy Allen,PF,27,IND,61,5,871,4.4,9.7,.458,0.0,0.1,.000,4.4,9.6,.461,1.3,1.9,.697,6.0,6.6,12.6,3.3,1.0,1.4,1.7,4.5,10.2,114,110,2017
Tony Allen,SG,35,MEM,71,66,1914,7.4,16.2,.461,0.4,1.5,.278,7.0,14.7,.479,2.2,3.5,.615,4.5,6.1,10.6,2.7,3.1,0.8,2.7,4.8,17.5,101,105,2017
Al-Farouq Aminu,SF,26,POR,61,25,1773,5.1,13.1,.393,2.0,5.9,.330,3.2,7.1,.445,2.7,3.8,.706,2.2,10.5,12.6,2.8,1.7,1.2,2.6,2.9,14.9,100,108,2017
